url,get_date,page_status,directory,cod,status,last_status,last_update,Dati_relativi_al_lotto_description,Dati_relativi_al_lotto_INDIRIZZO,Dati_relativi_al_lotto_LOTTO,Dati_relativi_al_lotto_NUMERO_BENI,Dati_relativi_al_lotto_GENERE,Dati_relativi_al_lotto_CATEGORIA,Dati_relativi_al_lotto_VALORE_DI_STIMA,Dati_relativi_ai_beni_tipo,Dati_relativi_ai_beni_description,Dati_relativi_ai_beni_INDIRIZZO,Dati_relativi_ai_beni_PIANO,Dati_relativi_ai_beni_DISPONIBILITÀ,Dati_relativi_ai_beni_VANI,Dati_relativi_ai_beni_METRI_QUADRI,Dati_relativi_ai_beni_METRI_QUADRI_MIN,Dati_relativi_ai_beni_METRI_QUADRI_MAX,Dati_relativi_ai_beni_CERTIFICAZIONE_ENERGETICA,Dati_relativi_ai_beni_DATI_CATASTALI,Dati_relativi_alla_Vendita_DATA_E_ORA_UDIENZA,Dati_relativi_alla_Vendita_DATA_E_ORA_VENDITA,Dati_relativi_alla_Vendita_TIPO_VENDITA,Dati_relativi_alla_Vendita_MODALITA_VENDITA,Dati_relativi_alla_Vendita_LUOGO_DELLA_VENDITA,Dati_relativi_alla_Vendita_LUOGO_PRESENTAZIONE_OFFERTA,Dati_relativi_alla_Vendita_TERMINE_PRESENTAZIONE_OFFERTE,Dati_relativi_alla_Vendita_PREZZO_BASE,Dati_relativi_alla_Vendita_OFFERTA_MINIMA,Dati_relativi_alla_Vendita_RIALZO_MINIMO_IN_CASO_DI_GARA,Dati_relativi_alla_Vendita_DEPOSITO_CAUZIONALE,Dati_relativi_alla_Vendita_DEPOSITO_IN_CONTO_SPESE,Dati_relativi_alla_Vendita_DATA_INIZIO_GARA,Dati_relativi_alla_Vendita_DATA_FINE_GARA,Dettaglio_procedura_e_contatti_TRIBUNALE,Dettaglio_procedura_e_contatti_TIPO_PROCEDURA,Dettaglio_procedura_e_contatti_RUOLO,Dettaglio_procedura_e_contatti_RUOLO_1,Dettaglio_procedura_e_contatti_RUOLO_2,Numero_dei_Creditori,Dettaglio_procedura_e_contatti_DELEGATO_ALLA_VENDITA,Dettaglio_procedura_e_contatti_RECAPITI,Dettaglio_procedura_e_contatti_EMAIL,Dettaglio_procedura_e_contatti_CUSTODE_GIUDIZIARIO,Dettaglio_procedura_e_contatti_GIUDICE,Dettaglio_procedura_e_contatti_IVG,zip,asd,Dati_relativi_ai_beni_DENUNCIA_CATASTALE,Dati_relativi_alla_Vendita_RIALZO_MINIMO,Dettaglio_procedura_e_contatti_ENTE,Dettaglio_procedura_e_contatti_COMMISSARIO_LIQUIDATORE,Dettaglio_procedura_e_contatti_LIQUIDATORE_GIUDIZIALE,Dettaglio_procedura_e_contatti_CURATORE,Dettaglio_procedura_e_contatti_PROFESSIONISTA_DELEGATO,Dettaglio_procedura_e_contatti_COMMISSARIO_GIUDIZIALE,Dati_relativi_alla_Vendita_PRESENTAZIONE_DOMANDA,Dettaglio_procedura_e_contatti_CURATORE_FALLIMENTARE
https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-localit%C3%A0-ostia-lido-viale-vega-n-52-1804465,2021-02-25 22:17,OK,"media/Comune Roma, Roma, Italia/1804465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-piazza-di-san-giovanni-in-laterano-36-1804489,2021-02-25 23:12,OK,"media/Comune Roma, Roma, Italia/1804489",COD. 4191939,GARA DA APRIRE,ABITAZIONE DI TIPO CIVILE,,"Piena proprietà di appartamento in Roma, P.zza di San Giovanni in Laterano 36, Int.15, P. 5. Censito al catasto Fabbricati al Fg. 510, Part. 29, sub. 32, Zc. 2, Cat.A/2, Cl. 1, consistenza 6,5 vani, R.C. Euro 2.249,17. Regolarità edilizia: limmobile risulta regolare per la legge n. 47/1985. La costruzione è antecedente al 01/09/1967. Stato di occupazione: l’immobile non è occupato ed è comunque in coso la sua liberazione.","Piazza di San Giovanni in Laterano 36, Roma (RM)",LOTTO UNICO,1,IMMOBILI,IMMOBILI - IMMOBILE RESIDENZIALE,,ABITAZIONE DI TIPO CIVILE,"Piena proprietà del seguente immobile: appartamento sito in Roma (RM), Piazza di San Giovanni in Laterano 36, interno 15, piano 5. Appartamento di un più ampio fabbricato depoca di 7 piani fuori terra, con accesso dal civico 36 di Piazza di San Giovanni in Laterano ed ubicato allintersezione con Via Matteo Boiardo, proprio dirimpetto al palazzo del Laterano ed allomonima Basilica papale. Limmobile è ubicato in zona centrale di Roma a breve distanza dalla stazione Termini, in contesto prevalentemente residenziale caratterizzata da edifici di remota realizzazione, con buona dotazione di attività commerciali e servizi e ben servita dal trasporto pubblico, nelle immediate vicinanze sono inoltre ubicate numerose attrattive turistiche ed attività ricettive. Lappartamento è composto da: ingresso, soggiorno doppio, cucina, 3 camere e 3 bagni, il tutto avente una superficie convenzionale di mq 148. Censito al catasto Fabbricati al foglio 510, particella 29, sub. 32, Zc. 2, categoria A/2, classe 1, consistenza 6,5 vani, rendita catastale Euro 2.249,17. L’appartamento confina con vano scale, chiostrina, Piazza S. Giovanni in Laterano, salvo altri. Destinazione urbanistica: secondo il PRG vigente limmobile oggetto di pignoramento ricade allinterno di una zona definita come: Sistema insediativo - Città storica - Tessuti di espansione otto-novecentesca a lottizzazione edilizia puntiforme ex art. 30 delle NTA ed è individuato sulla tavola 18-IV delle tavole sistemi e regole scala 1:500, limmobile non è inserito nella carta per la qualità. Regolarità edilizia: limmobile risulta regolare per la legge n. 47/1985. La costruzione è antecedente al 01/09/1967. Non sono presenti vincoli artistici, storici o alberghieri. Non sono presenti diritti demaniali o usi civici. Limmobile non risulta agibile. L’edificio realizzato tra la fine del XIX e linizio del XX sec., per il quale non risultano disponibili dati relativi a concessioni/licenze edilizie. La regolare realizzazione è comunque garantita dalla presenza della planimetria di impianto catastale del 30/12/1939. Il perito incaricato ha rilevato la sostanziale corrispondenza dei luoghi con tale planimetria, salvo delle modifiche alla distribuzione interna, regolarizzabili con CILA in sanatoria: si stima un costo complessivo di €. 1.350,00. Delle suddette spese si è tenuto conto nella determinazione del valore di stima dell’immobile. Stato di occupazione: l’immobile non è occupato ed è comunque in coso la sua liberazione. Il tutto come meglio descritto nell’elaborato peritale depositato in atti e nel pignoramento.","Piazza di San Giovanni in Laterano 36, Roma (RM)",5,IN CORSO DI LIBERAZIONE,6.5,,,,,,2021-03-09 11:00:00,,senza incanto,Asincrona telematica,,,2021-03-08 23:59:00,730000.0,547500.0,10000.0,,,"09/03/2021, all’esito della valutazione delle offerte",,Roma,ESECUZIONE IMMOBILIARE POST LEGGE 80,913 / 2018,913.0,2018.0,,"Colamedici Silvia
(Procede alle operazioni di vendita)",Tel. 0689569801,pvp@visiteivgroma.it,"IVG DI ROMA SRL
(Gestisce la visita del bene)",Ferramosca Bianca Maria,,184,,,,,,,,,,,
https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-piazza-ener-bettica-42-43-1821242,2021-02-26 00:38,OK,"media/Comune Roma, Roma, Italia/1821242",COD. 4196781,GARA DA APRIRE,ABITAZIONE DI TIPO CIVILE,,"Appartamento ubicato a Roma (RM), nel Quartiere XXXIII “Lido di Ostia Ponente” - piano: T, interno: 3, scala: A edificio: B2, composto da ingresso, soggiorno, numero cinque vani distinti, ripostiglio, disimpegni, numero due servizi igienici ed area esterne di pertinenza","Piazza Ener Bettica, 42/43, Roma (RM)",LOTTO UNICO,1,IMMOBILI,IMMOBILI - IMMOBILE RESIDENZIALE,,ABITAZIONE DI TIPO CIVILE,"Appartamento ubicato a Roma (RM), nel Quartiere XXXIII “Lido di Ostia Ponente” - Piazza Ener Bettica civico 42/43 - piano: T, interno: 3, scala: A edificio: B2, composto da ingresso, soggiorno, numero cinque vani distinti, ripostiglio, disimpegni, numero due servizi igienici ed area esterne di pertinenza","Piazza Ener Bettica, 42/43, Roma (RM)",T,,,,,,,"Foglio:1079, Particella:1023, Subalterno:6",2021-04-21 09:00:00,,senza incanto,Asincrona telematica,,,2021-04-20 23:59:00,217800.0,163350.0,5000.0,,,"21/04/2021, all’esito della valutazione delle offerte",,Roma,ESECUZIONE IMMOBILIARE POST LEGGE 80,1408 / 2018,1408.0,2018.0,,"Genghini Igor
(Procede alle operazioni di vendita)",Tel. 0689569801,pvp@visiteivgroma.it,"IVG di Roma Srl
(Gestisce la visita del bene)",dAmbrosio Federica,,121,,,,,,,,,,,
https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-piazza-irnerio-67-1811273,2021-02-25 23:26,OK,"media/Comune Roma, Roma, Italia/1811273",COD. 4193864,GARA DA APRIRE,ABITAZIONE DI TIPO CIVILE,,appartamento Roma Piazza Irnerio 65 piano V,"Piazza Irnerio 67, Roma (RM)",LOTTO UNICO,1,IMMOBILI,IMMOBILI - IMMOBILE RESIDENZIALE,,ABITAZIONE DI TIPO CIVILE,"appartamento Roma, Piazza Irnerio 67, piano V","Piazza Irnerio 67, Roma (RM)",5,Occupato senza titolo,,,,,,,2021-03-10 16:00:00,,senza incanto,Asincrona telematica,,,2021-03-09 23:59:00,251600.0,188700.0,10000.0,,,"10/03/2021, all’esito della valutazione delle offerte",,Roma,ESECUZIONE IMMOBILIARE POST LEGGE 80,1758 / 2018,1758.0,2018.0,,"DANGELO MARIA
(Procede alle operazioni di vendita)",Tel. 0689569801,pvp@visiteivgroma.it,"IVG DI ROMA SRL
(Gestisce la visita del bene)",dAmbrosio Federica,,,,,,,,,,,,,
https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-piazza-vittorio-emanuele-ii-n-43-1804156,2021-02-25 22:26,OK,"media/Comune Roma, Roma, Italia/1804156",COD. 4191914,GARA DA APRIRE,ABITAZIONE DI TIPO CIVILE,,"Piena proprietà per la quota di 1/1 dell’appartamento sito in Roma, rione Esquilino, Piazza Vittorio Emanuele II n. 43, posto al piano secondo, avente superficie netta complessiva residenziale di 111,48 mq.","Piazza Vittorio Emanuele II n. 43, Roma (RM)",LOTTO UNICO,1,IMMOBILI,IMMOBILI - IMMOBILE RESIDENZIALE,,ABITAZIONE DI TIPO CIVILE,"Piena proprietà per la quota di 1/1 dell’appartamento sito in Roma, rione Esquilino, Piazza Vittorio Emanuele II n. 43, adiacente alla linea Metropolitana A, posto al piano secondo e composto da un ingresso, un disimpegno, ripostiglio, tre camere da letto, la cucina e due bagni, avente superficie netta complessiva residenziale di 111,48 mq. e superficie commerciale complessiva di mq 110,67; sono compresi tutti i diritti di comproprietà sulle cose e parti comuni definiti nel regolamento di condominio, nel titolo di provenienza e come per legge. L’immobile è censito al Catasto Fabbricati del Comune di Roma al foglio 495 p.lla 36 sub 62, cat A/2, Zona Cens.2, classe 4, consistenza 6,5 vani, Superficie catastale totale 136 mq, Totale escluse aree scoperte 136 mq, rendita € 2.249,17, piano 2, interno 3. Confina con Piazza Vittorio Emanuele II, con appartamento sub 63 int. 4, con cortile comune e salvo altri. Ai fini della regolarità urbanistico-edilizia si dà atto che: a) E’ stata riscontrata dall’esperto stimatore una lievissima difformità tra lo stato dei luoghi e la planimetria catastale del 2008, pertanto l’immobile si potrà considerare regolare dal punto di vista urbanistico/edilizio solo in seguito alla presentazione, a cura e spese dell’aggiudicatario, presso il Comune di Roma di una C.I.L.A. in sanatoria finalizzata a regolarizzare la diversa distribuzione degli spazi interni ed andrà infine eseguito un aggiornamento planimetrico catastale tramite variazione DOCFA. Il tutto, come indicato alla pag. 12 dell’elaborato peritale, cui si fa espresso rinvio. b) Il fabbricato, di cui fa parte l’immobile in oggetto, è stato edificato in data antecedente all’approvazione del Regolamento Generale Edilizio (delibera n°5261/1934 del 18/8/1934), che ha istituito, per la realizzazione di nuove costruzioni all’interno del territorio del Comune di Roma, l’obbligo di richiesta della Autorizzazione Edilizia al Sindaco. Risulta infatti presentata una Licenza edilizia n. 22 del 01/02/1884. Inoltre, la planimetria catastale del sub 32 (che identifica l’appartamento oggetto di pignoramento) è stata presentata in data 04/12/1939 con scheda denunciata al n. 5860239. Dei relativi costi è stato tenuto conto ai fini della determinazione del valore di stima dell’immobile. Stato di occupazione: L’immobile è attualmente occupato dalla parte esecuta che vi abita, pertanto non potrà essere disposto il rilascio prima del decreto di trasferimento. Il tutto, come indicato nell’elaborato peritale in atti, cui si fa espresso rinvio.","Piazza Vittorio Emanuele II n. 43, Roma (RM)",2,,,,,,,"Foglio:495, Particella:36, Subalterno:62",2021-03-02 15:00:00,,senza incanto,Asincrona telematica,,,2021-03-01 23:59:00,456000.0,342000.0,5000.0,,,"02/03/2021, all’esito della valutazione delle offerte",,Roma,CONTENZIOSO CIVILE,15467 / 2019,15467.0,2019.0,,"SCHEPIS BARBARA
(Procede alle operazioni di vendita)",,pvp@visiteivgroma.it,"ISTITUTO VENDITE GIUDIZIARIE DI ROMA SRL
(Gestisce la visita del bene)",CECERE ENRICO,,185,,,,,,,,,,,
https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-a-gandiglio-n-81-1825089,2021-02-25 22:55,OK,"media/Comune Roma, Roma, Italia/1825089",COD. 396368,GARA DA APRIRE,APPARTAMENTO,,"Quota pari ad 1/1 del diritto di proprietà su appartamento sito in Roma, Via A. Gandiglio n. 81, piano 2, interno 11, composto da 7,5 vani per complessivi mq 155, oltre a balcone di 35,4 mq. Identificato al Catasto Fabbricati di Roma al foglio n. 466, part. 1845, sub 11.","Via A. Gandiglio n. 81, Roma (RM)",1,1,IMMOBILI,IMMOBILI - IMMOBILE RESIDENZIALE,"€ 493.500,00",APPARTAMENTO,"Quota pari ad 1/1 del diritto di proprietà su appartamento sito in Roma, Via A. Gandiglio n. 81, piano 2, interno 11, composto da 7,5 vani per complessivi mq 155, oltre a balcone di 35,4 mq.","Via A. Gandiglio n. 81, Roma (RM)",2,LIBERO,7.5,155,155.0,,,"Foglio:466, Particella:1845, Subalterno:11",2021-04-13 11:00:00,,senza incanto,Asincrona telematica,,,2021-04-12 23:59:00,444000.0,333000.0,10000.0,,,"13/04/2021, all’esito della valutazione delle offerte",,Roma,ESECUZIONE IMMOBILIARE POST LEGGE 80,661 / 2014,661.0,2014.0,,"Pasquino Gabriella
(Procede alle operazioni di vendita)",Tel. 0689569801,pvp@visiteivgroma.it,"IVG di Roma srl
(Gestisce la visita del bene)",dAmbrosio Federica,,151,,,,,,,,,,,
https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-abate-di-tivoli-n-12-1827331,2021-02-26 00:16,OK,"media/Comune Roma, Roma, Italia/1827331",COD. 4193885,DA BANDIRE TRA PIÙ DI 15 GIORNI,APPARTAMENTO,,"Intera proprietà immobile: Sito in Via Abate di Tivoli n.12 00131 Roma (RM), identificato al N.C.E.U. a Foglio 294 - Part. 1081 Sub. 98 – Categoria catastale A/3 e rendita catastale Euro 364,10. L’immobile ha una superfice catastale complessiva di mq. 49.","Via Abate di Tivoli n.12, Roma (RM)",2,1,IMMOBILI,IMMOBILI - IMMOBILE RESIDENZIALE,"€ 67.000,00",APPARTAMENTO,"Intera proprietà immobile: Sito in Via Abate di Tivoli n.12 00131 Roma (RM), identificato al N.C.E.U. a Foglio 294 - Part. 1081 Sub. 98 – Categoria catastale A/3 e rendita catastale Euro 364,10. L’immobile ha una superfice catastale complessiva di mq. 49.","Via Abate di Tivoli n.12, Roma (RM)",,,,,,,,,,2021-04-27 10:00,competitiva,Presso il venditore,,,2021-04-26 12:00:00,53600.0,53600.0,,10% del prezzo offerto,,,,,Liquidazione Coatta,527 / 2019,527.0,2019.0,,"Carraffa Renato
(Procede alle operazioni di vendita)",Tel. 0737 782080,,,,,131,,,"€ 2.680,00",Ministero dello Sviluppo Economico,Brancia Luigi Federico,,,,,,
https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-anagni-86-1818790,2021-02-26 00:34,OK,"media/Comune Roma, Roma, Italia/1818790",COD. 2793742,DA BANDIRE TRA PIÙ DI 15 GIORNI,ABITAZIONE DI TIPO ECONOMICO,,"Appartamento in Roma, Via Anagni n. 86, scala “B”, piano 5, int. 20 -censito al Catasto Fabbricati del Comune di Roma nel foglio 626, particella 174, sub. 62, cat. A/3, cl. 3, vani 6,5, rendita catastale euro 1.174,94, composto di ingresso, quattro camere, cucina, due bagni, ripostiglio, disimpegno e balcone","VIA ANAGNI 86, Roma (RM)",1,1,IMMOBILI,IMMOBILI - IMMOBILE RESIDENZIALE,,ABITAZIONE DI TIPO ECONOMICO,"Appartamento in Roma, Via Anagni n. 86, scala “B”, piano 5, int. 20 -censito al Catasto Fabbricati del Comune di Roma nel foglio 626, particella 174, sub. 62, cat. A/3, cl. 3, vani 6,5, rendita catastale euro 1.174,94, composto di ingresso, quattro camere, cucina, due bagni, ripostiglio, disimpegno e balcone","VIA ANAGNI 86, Roma (RM)",5,OCCUPATO SENZA TITOLO,,,,,,"Foglio:626, Particella:174, Sub particella:62",,2021-03-16 16:00,senza incanto,Presso il venditore,VIA ANTONIO BERTOLONI 10 - Roma 00197,,2021-03-15 16:00:00,300800.0,225600.0,5000.0,,,,,Roma,Fallimento,1014 / 2014,1014.0,2014.0,,,"Tel. 06 32 34 448
Fax 06 32 502 037",,,Coluccio Angela,,171,,,,,,,,"Occorsio Vittorio
(Procede alle operazioni di vendita)",,,Rossi Francesco
https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-andrea-solario-n-85-1819864,2021-02-26 00:27,OK,"media/Comune Roma, Roma, Italia/1819864",COD. 4168872,GARA DA APRIRE,ABITAZIONE DI TIPO CIVILE,,"Quota pari a 1/1 del diritto di Piena Proprietà su Appartamento sito in Roma – via Andrea Solario n. 85, scala A, interno 12, piano 6, composto da 3 camere, cucina, 2 bagni, 1 balcone, disimpegno, con annessa cantina al piano seminterrato distinta con il n. 12 . Identificato al Catasto Fabbricati del Comune di Roma al foglio n 874, part. 805, sub. 16 Zc5, Cat. A/2, Cl. 3, Vani 5,5, piano 6-S1, rendita Euro 1.193,02.","via Andrea Solario n. 85, Roma (RM)",LOTTO UNICO,1,IMMOBILI,IMMOBILI - IMMOBILE RESIDENZIALE,,ABITAZIONE DI TIPO CIVILE,"Quota pari a 1/1 del diritto di Piena Proprietà su Appartamento sito in Roma – via Andrea Solario n. 85, scala A, interno 12, piano 6, composto da 3 camere, cucina, 2 bagni, 1 balcone, disimpegno, con annessa cantina al iano seminterrato distinta con il n. 12 . Identificato al Catasto Fabbricati del Comune di Roma al foglio n 874, part. 805, sub. 16 Zc 5, Cat. A/2, Cl. 3, Vani 5,5, piano 6-S1, rendita Euro 1.193,02.","via Andrea Solario n. 85, Roma (RM)",6-s1,,5.5,,,,,,2021-04-07 14:00:00,,senza incanto,Asincrona telematica,,,2021-04-06 23:59:00,224000.0,168000.0,5000.0,,,"07/04/2021, all’esito della valutazione delle offerte",,Roma,ESECUZIONE IMMOBILIARE POST LEGGE 80,1030 / 2017,1030.0,2017.0,,"Gatti Giampaolo
(Procede alle operazioni di vendita)",Tel. 0689569801,pvp@visiteivgroma.it,"IVG DI ROMA SRL
(Gestisce la visita del bene)",Mazzaro Flora,,142,,,,,,,,,,,
https://www.astegiudiziarie.it/vendita-asta-appartamento-roma-via-andria-41-1798839,2021-02-25 23:26,OK,"media/Comune Roma, Roma, Italia/1798839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
